time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/actor_loss
128,18,2434,604,9.300841609999999,4.02,0.23861150443553925,0.001,1433,0.0014308542013168335,-4.765107154846191,-9.767550468444824
127,19,2451,608,9.30169781,4.03,0.23459893465042114,0.001,1450,0.003044992685317993,-4.858860969543457,-9.706979751586914
127,19,2467,612,9.30140022,4.03,0.23088504374027252,0.001,1466,0.0021624539513140917,-4.9267048835754395,-9.697179794311523
126,19,2484,616,9.300861679999999,4.04,0.2270060032606125,0.001,1483,0.003852308262139559,-4.9916672706604,-9.674829483032227
126,19,2500,620,9.301572010000001,4.04,0.22341172397136688,0.001,1499,0.0019876528531312943,-5.02324914932251,-9.673068046569824
125,20,2516,624,9.30436615,4.04,0.21986988186836243,0.001,1515,0.0020297786686569452,-5.101838111877441,-9.647802352905273
124,20,2532,628,9.30326757,4.04,0.21638377010822296,0.001,1531,0.0022048153914511204,-5.127961158752441,-9.749377250671387
123,20,2548,632,9.300316340000002,4.04,0.21295815706253052,0.001,1547,0.0025753029622137547,-5.200190544128418,-9.621588706970215
122,20,2564,636,9.29777947,4.04,0.20958343148231506,0.001,1563,0.001999968197196722,-5.230932712554932,-9.646303176879883
122,21,2580,640,9.2974085,4.04,0.20626704394817352,0.001,1579,0.0015998688759282231,-5.318732261657715,-9.57933235168457
122,21,2596,644,9.29790999,4.04,0.20300278067588806,0.001,1595,0.0014545057201758027,-5.306916236877441,-9.5377836227417
121,21,2612,648,9.297013170000001,4.04,0.1997915655374527,0.001,1611,0.001806783489882946,-5.408812999725342,-9.602455139160156
121,21,2628,652,9.29651549,4.04,0.19663317501544952,0.001,1627,0.0019210234750062227,-5.425024509429932,-9.566043853759766
120,21,2645,656,9.29551138,4.05,0.19333451986312866,0.001,1644,0.001232316019013524,-5.47112512588501,-9.591575622558594
120,22,2661,660,9.29274205,4.05,0.19027502834796906,0.001,1660,0.003175259567797184,-5.531467437744141,-9.534038543701172
